fragment, used, inprojects, sloc, usedsloc, percent,,
22212300_1.java,19,3,82,10,0.12,,
20593873_1.java,19,3,112,10,0.09,,
5883717_1.java,17,8,16,10,0.63,,
6082389_0.java,17,8,30,10,0.33,,
17698380_0.java,17,8,65,10,0.15,,
15649188_0.java,16,2,77,10,0.13,,
6236324_0.java,16,1,323,6,0.02,,
23568650_0.java,15,2,20,10,0.5,,
19957163_1.java,15,2,27,10,0.37,,
22233192_1.java,14,1,18,7,0.39,,
22959859_1.java,14,1,21,7,0.33,,
16206651_1.java,14,1,26,7,0.27,,
22608959_0.java,14,1,27,7,0.26,,
5441529_0.java,14,1,28,7,0.25,,
24414041_0.java,14,1,29,7,0.24,,
21141147_1.java,14,1,29,7,0.24,,
16206651_0.java,14,1,30,7,0.23,,
12279998_4.java,14,1,36,7,0.19,,
16337816_0.java,14,1,36,7,0.19,,
22622437_0.java,14,1,44,7,0.16,,
23419554_0.java,14,1,52,7,0.13,,
22600739_0.java,14,1,68,7,0.1,,
6966963_0.java,13,9,62,7,0.11,,
25097708_0.java,13,3,239,6,0.03,,
24056686_0.java,13,2,20,10,0.5,,
9404593_0.java,13,1,17,5,0.29,,
25092487_0.java,11,4,17,7,0.41,,
10165127_0.java,11,2,57,8,0.14,,
23286787_0.java,11,1,79,10,0.13,,
17342522_0.java,11,1,114,5,0.04,,
16270950_0.java,10,3,22,5,0.23,,
14930413_0.java,9,6,27,10,0.37,,
22010866_1.java,9,3,39,7,0.18,,
20681509_0.java,9,2,23,10,0.43,,
10135259_0.java,9,2,22,8,0.36,,
2752455_0.java,9,2,23,8,0.35,,
23782959_0.java,9,2,23,8,0.35,,
1201102_0.java,9,2,23,8,0.35,,
3939285_0.java,9,2,29,10,0.34,,
4453908_0.java,9,2,21,7,0.33,,
14073238_0.java,9,2,53,10,0.19,,
18614607_0.java,9,1,43,8,0.19,,
20082520_0.java,9,1,75,5,0.07,,
10264657_0.java,8,4,9,7,0.78,,
12835370_0.java,8,4,12,9,0.75,,
11202699_0.java,8,4,12,9,0.75,,
12428601_0.java,8,4,12,9,0.75,,
25603104_0.java,8,3,16,7,0.44,,
23254493_0.java,8,3,89,7,0.08,,
4608146_0.java,8,2,13,8,0.62,,
19952325_0.java,8,1,32,5,0.16,,
21900950_0.java,8,1,78,5,0.06,,
19774879_0.java,8,1,94,5,0.05,,
22501464_0.java,7,5,23,10,0.43,,
24848281_0.java,7,5,26,10,0.38,,
23540649_1.java,7,5,42,10,0.24,,
16831289_0.java,7,5,44,10,0.23,,
3212907_0.java,7,5,52,10,0.19,,
24358038_0.java,7,5,53,10,0.19,,
20522073_1.java,7,5,55,10,0.18,,
25624267_0.java,7,2,41,6,0.15,,
15260207_0.java,7,2,227,7,0.03,,
13466006_1.java,7,1,23,7,0.3,,
11696992_0.java,7,1,116,5,0.04,,
6931385_0.java,6,4,31,6,0.19,,
8180925_0.java,6,4,60,10,0.17,,
24647708_1.java,6,3,11,6,0.55,,
23463899_0.java,6,3,20,6,0.3,,
21103067_0.java,6,3,24,6,0.25,,
25655970_0.java,6,3,35,6,0.17,,
25676286_0.java,6,3,51,7,0.14,,
21749977_1.java,6,3,50,6,0.12,,
25465723_0.java,6,3,54,6,0.11,,
15408066_0.java,6,3,96,6,0.06,,
20444710_3.java,6,2,28,10,0.36,,
10211953_0.java,6,2,29,10,0.34,,
9829474_0.java,6,2,17,5,0.29,,
14849596_0.java,6,2,22,6,0.27,,
7836146_0.java,6,2,37,10,0.27,,
10402768_1.java,6,2,42,10,0.24,,
14740385_2.java,6,1,31,10,0.32,,
17573548_0.java,6,1,18,5,0.28,,
2611536_0.java,6,1,32,7,0.22,,
21786837_0.java,6,1,50,10,0.2,,
11555597_0.java,6,1,39,7,0.18,,
7732479_1.java,6,1,42,5,0.12,,
8472494_0.java,6,1,98,5,0.05,,
13298858_1.java,5,5,24,7,0.29,,
