fragment, used, inprojects, sloc, usedsloc, percent
21655754_0.java,2,1,10,7,0.7
4623777_0.java,2,1,15,6,0.4
16930707_0.java,2,1,71,7,0.09859154929577464
23520731_0.java,2,1,75,17,0.22666666666666666
25414160_0.java,2,1,11,9,0.8181818181818182
17797136_0.java,2,1,44,5,0.11363636363636363
1110491_0.java,2,1,44,11,0.25
10548630_0.java,2,1,106,11,0.10377358490566038
17994928_0.java,2,1,16,5,0.3125
23586872_1.java,2,1,21,6,0.2857142857142857
8482425_0.java,2,1,9,6,0.6666666666666666
22876532_0.java,3,1,25,6,0.24
5419632_0.java,3,1,120,7,0.058333333333333334
22064171_0.java,3,1,104,5,0.04807692307692308
7691963_0.java,3,1,30,5,0.16666666666666666
13824658_2.java,3,1,202,8,0.039603960396039604
16718736_0.java,3,1,44,5,0.11363636363636363
7504040_0.java,3,1,22,6,0.2727272727272727
8779209_0.java,3,1,42,5,0.11904761904761904
22143333_0.java,4,1,176,7,0.03977272727272727
21998949_0.java,4,1,90,6,0.06666666666666667
12852742_0.java,21,1,95,6,0.06315789473684211
4487541_0.java,2,2,25,6,0.24
20895609_0.java,2,2,85,11,0.12941176470588237
19051537_0.java,2,2,88,63,0.7159090909090909
7727999_0.java,2,2,203,8,0.03940886699507389
19979651_1.java,2,2,30,7,0.23333333333333334
18303692_0.java,2,2,68,11,0.16176470588235295
3559815_0.java,2,2,24,10,0.4166666666666667
22930527_1.java,2,2,29,5,0.1724137931034483
7995857_0.java,2,2,285,7,0.02456140350877193
10091556_0.java,2,2,47,9,0.19148936170212766
15901708_0.java,2,2,65,5,0.07692307692307693
17839323_0.java,2,2,26,5,0.19230769230769232
13631637_0.java,2,2,7,5,0.7142857142857143
13302801_0.java,2,2,111,5,0.04504504504504504
10602740_0.java,2,2,43,5,0.11627906976744186
9128840_0.java,2,2,144,5,0.034722222222222224
11569335_0.java,2,2,60,5,0.08333333333333333
3388910_0.java,2,2,25,5,0.2
11569335_1.java,2,2,59,5,0.0847457627118644
16928749_0.java,2,2,98,12,0.12244897959183673
16180910_0.java,2,2,15,13,0.8666666666666667
22948074_0.java,2,2,23,7,0.30434782608695654
22393642_0.java,2,2,76,7,0.09210526315789473
21364076_1.java,2,2,15,7,0.4666666666666667
1642629_1.java,2,2,14,7,0.5
16418306_0.java,2,2,22,7,0.3181818181818182
9319652_1.java,2,2,35,7,0.2
2875015_0.java,2,2,46,10,0.21739130434782608
9432435_0.java,2,2,28,10,0.35714285714285715
21114828_0.java,2,2,28,10,0.35714285714285715
8730169_0.java,2,2,29,10,0.3448275862068966
23346101_1.java,2,2,22,13,0.5909090909090909
12879764_0.java,2,2,41,15,0.36585365853658536
6722760_0.java,2,2,6,5,0.8333333333333334
24777272_0.java,2,2,39,6,0.15384615384615385
14505129_0.java,3,2,74,10,0.13513513513513514
17966859_0.java,3,2,19,5,0.2631578947368421
17873797_0.java,3,2,18,5,0.2777777777777778
8836350_0.java,3,2,19,5,0.2631578947368421
14002290_0.java,3,2,33,6,0.18181818181818182
5708120_0.java,3,2,65,5,0.07692307692307693
7211514_0.java,3,2,135,6,0.044444444444444446
14020074_0.java,4,2,125,11,0.088
19459023_0.java,4,2,18,5,0.2777777777777778
17708273_0.java,4,2,58,8,0.13793103448275862
8037824_0.java,4,2,42,5,0.11904761904761904
13247649_0.java,4,2,106,8,0.07547169811320754
6722760_1.java,4,2,57,5,0.08771929824561403
