fragment, used, inprojects, sloc, usedsloc, percent,
3357300_0.java,161,60,38,7,0.18,
11555766_0.java,161,60,38,7,0.18,
1988212_1.java,464,158,37,7,0.19,
15095000_0.java,258,66,37,7,0.19,
12812198_0.java,1,1,37,7,0.19,
23423905_0.java,168,60,36,7,0.19,
13136224_1.java,27,14,36,7,0.19,
24475366_0.java,27,14,36,7,0.19,
12279998_4.java,14,7,36,7,0.19,
16337816_0.java,14,7,36,7,0.19,
9319652_1.java,2,2,35,7,0.20,
23197177_1.java,258,66,34,7,0.21,
7452490_1.java,111,54,34,7,0.21,
20384228_0.java,1,1,34,7,0.21,
22625057_0.java,27,14,33,7,0.21,
18209411_3.java,270,66,32,7,0.22,
13225202_0.java,258,66,32,7,0.22,
12008316_0.java,258,66,32,7,0.22,
19614645_1.java,258,66,32,7,0.22,
11903456_0.java,27,14,32,7,0.22,
2611536_0.java,6,6,32,7,0.22,
16447052_0.java,3,3,32,7,0.22,
16206651_0.java,14,7,30,7,0.23,
19979651_1.java,2,2,30,7,0.23,
4024890_0.java,2,1,30,7,0.23,
23526184_0.java,258,66,29,7,0.24,
25321858_0.java,27,14,29,7,0.24,
24414041_0.java,14,7,29,7,0.24,
21141147_1.java,14,7,29,7,0.24,
21761537_0.java,4,4,29,7,0.24,
19084086_0.java,1,1,29,7,0.24,
6921379_0.java,271,66,28,7,0.25,
12776901_0.java,271,66,28,7,0.25,
20755453_0.java,270,66,28,7,0.25,
25386510_0.java,270,66,28,7,0.25,
25763458_0.java,259,66,28,7,0.25,
3692441_0.java,258,66,28,7,0.25,
8422637_0.java,258,66,28,7,0.25,
22124868_0.java,161,60,28,7,0.25,
15248123_2.java,14,7,28,7,0.25,
5441529_0.java,14,7,28,7,0.25,
15271448_0.java,1,1,28,7,0.25,
25505852_2.java,1,1,28,7,0.25,
15698192_2.java,347,91,27,7,0.26,
15698192_3.java,347,91,27,7,0.26,
8810487_0.java,161,60,27,7,0.26,
22608959_0.java,14,7,27,7,0.26,
11368428_1.java,5,3,27,7,0.26,
22576386_0.java,1,1,27,7,0.26,
10105260_0.java,551,158,26,7,0.27,
16179971_5.java,464,158,26,7,0.27,
22315282_2.java,258,66,26,7,0.27,
14824172_0.java,161,60,26,7,0.27,
16206651_1.java,14,7,26,7,0.27,
10713332_0.java,28,15,25,7,0.28,
4329039_5.java,27,14,25,7,0.28,
11694204_0.java,27,14,25,7,0.28,
12711403_5.java,3,3,25,7,0.28,
11937204_2.java,349,91,24,7,0.29,
23415361_1.java,258,66,24,7,0.29,
13298858_1.java,5,5,24,7,0.29,
17260065_0.java,343,88,23,7,0.30,
22030522_0.java,161,60,23,7,0.30,
3032205_0.java,28,14,23,7,0.30,
6486206_0.java,27,14,23,7,0.30,
13466006_1.java,7,7,23,7,0.30,
22948074_0.java,2,2,23,7,0.30,
25304185_0.java,1,1,23,7,0.30,
25108080_0.java,1,1,23,7,0.30,
3046986_1.java,480,158,22,7,0.32,
3757982_0.java,108,54,22,7,0.32,
10814214_2.java,29,15,22,7,0.32,
9945067_0.java,27,14,22,7,0.32,
16418306_0.java,2,2,22,7,0.32,
10406949_0.java,161,60,21,7,0.33,
22959859_1.java,14,7,21,7,0.33,
4453908_0.java,9,3,21,7,0.33,
24736685_0.java,1,1,21,7,0.33,
10308733_1.java,161,60,20,7,0.35,
20203510_1.java,161,60,20,7,0.35,
4196836_0.java,1,1,20,7,0.35,
20189901_8.java,1,1,20,7,0.35,
6240956_1.java,1,1,20,7,0.35,
5771041_0.java,1,1,20,7,0.35,
3865391_0.java,28,14,19,7,0.37,
23070487_0.java,1,1,19,7,0.37,
24963319_5.java,1,1,19,7,0.37,
22233192_1.java,14,7,18,7,0.39,
11756284_0.java,1,1,18,7,0.39,
18947675_0.java,1,1,18,7,0.39,
10748516_0.java,161,60,17,7,0.41,
14155715_0.java,161,60,17,7,0.41,
19220757_0.java,161,60,17,7,0.41,
19262353_0.java,161,60,17,7,0.41,
13721279_0.java,30,21,17,7,0.41,
4247539_0.java,27,14,17,7,0.41,
25092487_0.java,11,11,17,7,0.41,
7653558_2.java,1,1,17,7,0.41,
25603104_0.java,8,4,16,7,0.44,
19433968_0.java,3,3,16,7,0.44,
21364076_1.java,2,2,15,7,0.47,
8978831_2.java,1,1,15,7,0.47,
9060013_0.java,1,1,15,7,0.47,
11296702_0.java,3,3,14,7,0.50,
20616132_0.java,3,3,14,7,0.50,
13003973_0.java,3,3,14,7,0.50,
1642629_1.java,2,2,14,7,0.50,
17606223_0.java,1,1,14,7,0.50,
16246659_0.java,3,3,13,7,0.54,
20166855_0.java,1,1,13,7,0.54,
6441604_0.java,1,1,12,7,0.58,
8478640_1.java,1,1,12,7,0.58,
10636043_0.java,1,1,12,7,0.58,
21655754_0.java,2,1,10,7,0.70,
7570821_0.java,54,54,9,7,0.78,
10264657_0.java,8,8,9,7,0.78,
17756093_0.java,1,1,9,7,0.78,
13607687_0.java,1,1,9,7,0.78,
6236324_0.java,16,2,323,6,0.02,
22314620_0.java,1,1,243,6,0.02,
25097708_0.java,13,6,239,6,0.03,
4298836_0.java,76,23,230,6,0.03,
15521421_0.java,4,4,202,6,0.03,
11156584_0.java,1,1,196,6,0.03,
18970642_3.java,4,4,185,6,0.03,
11371025_0.java,1,1,185,6,0.03,
1204658_0.java,5,5,172,6,0.03,
24682528_2.java,60,55,165,6,0.04,
13505913_0.java,5,5,157,6,0.04,
