SD,SE,ND,NE
2,86049,892,21412
1,1,5,46591
4,1,1568,19627
2,556,25,10720
812,3,12,6
5,225,138,984
4,5,327,49
29,1,9,34348
1,184617,1,41129
1,470,367,30686
6,9,1579,3592
36,7699,720,75183
1,2,1549,20095
2,1088,1707,2768
9,23,1032,65465
2,28,114,12580
3,21,688,80464
1,14,25,32692
39,1,367,4
1,137,1,39423
2,1,354,46428
60,1,11,910
36,3636,1568,3990
1,869,354,4960
475,622,1300,879
1,1,19,6688
4,496,191,1
1,3,741,15593
4,16,2,22187
2,2,89,72333
1,65,1456,40047
4,44,25,4
2,258,148,20807
812,6708,18,17217
7,12,59,11805
2,4,1248,18702
1,2,4,1
21,28,1073,3751
6,9859,354,76209
1,119,9,225
6,2,1315,32530
31,52,1677,16139
1,1,3160,108906
2,1,320,6346
814,11,22,10190
3,6,1,10075
12,4,1,1
1,86414,175,1
104,15,3,108
1,303,1,2785
565,6064,148,1
9,51169,1457,6111
2,5,34,48
2,36,2,3694
1,85,2,24206
380,17,1300,81069
9,32,716,14669
1,699,89,129
3,1,27,20900
2,5,3,32568
1,17,4,32568
6,49,17,49
1,257,6,7946
24,6,1585,24254
565,1842,154,10150
2,2,1,14636
2,3,657,1516
1,681,214,10
3,6,1317,33033
1,8,363,7703
1,95,3,16978
156,3,5,30784
812,169,19,21398
4,1,340,194
21,27,1263,21248
3,15,1,8121
1,74,12,3756
2,84,1583,2
577,1,3,155
31,5,31,73524
476,1433,1,242
16,6,89,60983
1,811,1,175709
3,6,25,32937
3,535,2,14626
2,280,1658,1506
184,5,367,2652
1,1,91,884
1,4,2,5701
1,3,354,6375
1,4,1317,51672
1,7923,651,20462
28,22,1658,1188
5,36,1317,6592
9,10935,652,11343
812,742432,1,2483
1,377,4,3
2,2,17,13153
30,1117,79,11831
2,262,25,29956
1,15,367,17155
1,1108,89,1
2,1,89,59150
2,1,881,3
1,1,367,89522
2,3,5,36342
8,8,310,13589
1,13,88,144126
28,3,5,136
1,1,373,3049
1,11069,2,873
6,5402,19,3567
1,1,717,22495
2,1,5577,21380
4,1170,1206,19250
4,5459,1648,32696
184,3537,18,54
7,2,1,4
8,3,49,12499
1,4,734,48
78,3,9,3
70,5,1028,2
1,2,247,12455
8,15384,363,25883
28,6106,89,2
1,4527,947,42552
4,2,719,8177
2,139,5577,12
2,4,1,21226
4,3,4,1
1,2629,1,6854
4,4,50,47238
1,143,1658,245
1,6,59,75
79,47,1365,22281
29,1889,3060,1402
4,10571,1058,20140
2,3,1568,21277
120,2964,1206,18619
2,30,4,6087
4,12,2,20222
3,1,1,30880
1,1,892,194
2,1,4,8592
1,5,354,16245
2,40,1,14
2,567,17,1516
28,13,674,133
1,35,291,1833
2,1,12,20101
1,1961,21,1
412,368,1,382
1,2,3163,72629
1,5,1,139915
175,2,1,609
9,12,4,155
1,2,1300,4828
32,4,2367,29233
2,1,1300,32796
1,42,157,3251
16,11,1935,17
1,124,1568,13615
1,130,3,1
1,481,340,17
27,1349,1,11787
1,2,154,12514
6,79,1,5532
3,2,128,33077
103,1,21,53565
1,9,2,2
1,1,2516,2768
1,729,10,3
565,46,1,31404
1,4,27,34428
138,551,367,171
48,29,367,2217
4,452816,1544,25921
1,1,363,712
572,197031,1,13379
3,4,2,48
2,56,294,4490
3,1,1,299
1,839,25,21382
1,1,12,454
3,2136,117,3561
3,38,244,32758
1,4,176,169360
1,4,4,33682
11,7,367,3
13,789,12,23073
1,5,1,1263
812,7,1121,310
1,3890,9,68
829,156,764,25493
2,1824979,244,21951
352,10,944,4
48,88,363,1979
1,3,1317,190
1,35335,4,2846
189,2,166,4368
5,7756,5,815
10,12,367,2379
1,5,1096,195
14,252,367,73444
1,2,2,3252
2,9,139,14681
1,12,25,568
4,117,1576,1657
2,6,10,4
2,166,1566,25081
812,7,20,56
1,2,1,141
2,191,970,33505
2,40,248,195
3,282,1,10979
5,41,3,19291
1,5,89,1
13,4,296,2726
1,4,2,2618
5,5,1317,14930
28,50,7,28891
1,679,25,3255
1,10,176,19034
9,410,89,21250
2,29,6,25324
3,5,1473,19191
,18,147,1
,1194,354,78745
,42463,9,50207
,18,83,20901
,14,726,33106
,2,1582,1
,711,25,16232
,30,2,5348
,708,89,24
,1674,943,20095
,1,2,5316
,11,9,25671
,63,356,8384
,24,671,7107
,126,4,50214
,738,2,5746
,2,4,2721
,22,367,1
,1,397,6085
,1,991,8720
,5,754,21248
,3,363,1936
,1,4179,223
,16,23,33106
,3,354,15492
,21,4,1
,3,755,33106
,378,96,171
,4,363,21248
,7,22,19
,100,1317,11255
,30,1,21248
,5,354,1
,22,900,10913
,3,1,161116
,1,1,33483
,6,2,23363
,24,363,33106
,7,4,1516
,1,383,20779
,613,80,4667
,16,21,2293
,59,2,1
,1137,2,21606
,7049,1300,194
,1,707,1
,1,1,1455
,4128,2,34707
,3,88,27669
,3721,1206,33106
,1,1315,33106
,350817,363,48
,1605,340,1
,15988,1,75120
,2998,354,4976
,5990,89,1
,63,1566,6
,1,1032,17715
,393,663,194
,5,1668,171
,16,734,30726
,20,651,81
,255,354,41305
,65,12,3238
,157914,367,29965
,65,165,40006
,263,1,67458
,201,1206,33244
,2727,9,95035
,8028,354,7308
,37,1342,155
,2058,5577,25883
,2676,1,3934
,259,167,3809
,16500,1450,3640
,4,1568,3
,1,9,17910
,75,2,2
,115049,1300,1097
,8,12,21489
,11,1,74416
,11,1,6344
,33539,5,33505
,487,1300,21140
,3990,442,48
,7424,46,43
,74,5,39046
,5,996,99065
,15884,367,884
,135,1,7
,1,1659,10268
,136631,707,27397
,3,34,20751
,203,308,33845
,2,970,52273
,24,25,194
,7,31,17804
,35234,1300,2432
,45,1472,4770
,792,685,43
,6,341,13426
,168620,367,20510
,33,8,14161
,15069,1568,1
,23169,1450,10414
,3,2584,127
,372,2,126
,1,49,21758
,198,25,21248
,2670,147,310
,12,1545,11176
,1,1,155
,9,5577,3603
,17,8,1
,1,4,21248
,35,2,20036
,122,2787,61
,578,23,3693
,19,367,60355
,44988,1024,88512
,742,49,46282
,1,1450,1763
,17568,6,15936
,2,176,6094
,1,89,1
,946,12,10529
,4,32,29578
,978,1,27835
,2,356,104
,976,1,873
,6,1357,44123
,642,89,18494
,3,3,55892
,27,86,21248
,2734,61,2750
,17,5,33106
,11,4,19871
,51,1300,58760
,5,970,24047
,37,3,12396
,8,2,322
,1,1568,17692
,1,12,194
,204,25,7657
,60,1568,2628
,12741,892,8405
,8,138,988
,10,354,2
,38,1,9
,211,176,20510
,1,369,15506
,358,1440,71389
,22,367,32803
,17,25,33199
,1606,367,22504
,1275,681,48
,1,1451,24476
,199,11,2
,15,89,33555
,327,1568,557
,1599,341,30289
,28319,947,1
,5,15,15322
,513,5,10492
,122,1568,4968
,2,5,13348
,93,247,1
,1,333,42632
,3,12,171
,381,1658,65568
,36,89,7
,170,367,1
,1709,367,2
,67,1,595
,5,54,17530
,8,1080,13
,1,157,7453
,105,1572,14
,2,1,64297
,7475,2,2737
,189,89,9993
,3320,400,3536
,125590,1,20779
,59,12,48
,3,716,21248
,3139,13,21894
,12,556,58647
,5,367,42796
,86769,1,3339
,756,343,234
,53,1,26500
,506,89,8864
,1,1,322
,46,367,3740
,2,367,169
,1,4,45337
,9,2912,1
,427,89,171
,7,32,1165
,314,25,1
,132,12,42406
,1,1352,2143
,2,12,13698
,3,244,33473
,5,354,6494
,5,1032,22195
,1,1,4866
,33,51,50582
,31892,701,1
,150,685,18988
,6,6,5796
,2861,79,11
,7,914,16976
,146,61,155
,23,367,1
,241,1588,194
,4,3303,2587
,121627,3338,32689
,86,1300,48
,37,128,155
,19,2,29036
,4,340,137524
,2502,89,127
,3,81,21248
,2,1568,30084
,154098,72,46565
,369027,1473,48
,1,6,36
,690,2,4465
,498,1241,929
,970,354,40973
,4320,2,51177
,294,1,29082
,317,3,41384
,129,294,3865
,5,1568,6870
,12,31,5762
,1073,1300,171
,7,2,2957
,51,354,27669
,1,1,10720
,3,50,24158
,5504,1,8572
,1217,719,21913
,2,992,4087
,2,89,15680
,120383,354,29157
,10,84,472
,327900,369,5255
,52,340,30703
,257600,1,175733
,38,685,32721
,7,1,17547
,6,2,1772
,1,1,1650
,3702,1607,52813
,1290,9,18850
,5961,1300,948
,1,24,28225
,29,10,2300
,28,12,3389
,2,1568,2518
,1,2,48
,447150,1317,12031
,492,790,2698
,1,332,4146
,1,383,14
,20,89,12433
,4,18,37
,24,31,48
,1,2,5477
,5,1,33505
,1007,1300,194
,18,1,3274
,4,1,156032
,9,300,66286
,1,367,568
,1,4,4188
,1,6553,6576
,1,60,6344
,3,51,199
,1,501,9822
,2,148,24016
,97405,354,62351
,6,12,194
,4271,114,21136
,76,4,21471
,1062,764,524
,1,337,42014
,59,5,36861
,1356,2,21006
,7,949,8
,21,25,10198
,695683,2,984
,143,12,616
,11,1576,3880
,2,2,35539
,88,8,89196
,5,16,52416
,4,2,5
,1,1,943
,1,894,1517
,29,7,8003
,2,760,49
,1557,34,2378
,1103,,1244
,1,,21248
,107,,155
,1,,52506
,3,,16017
,9,,88082
,1,,6164
,11,,21645
,39,,49324
,1,,22487
,19,,2700
,161,,4218
,89715,,194
,260,,4
,3,,50048
,12,,3
,1170,,1117
,116562,,1126
,2,,260
,1,,7
,49,,20348
,5961,,72463
,134,,20821
,1,,10811
,11,,16454
,1,,21226
,24,,29474
,9112,,8345
,126,,49
,1,,988
,1,,138712
,11,,21130
,25,,15292
,1342,,26124
,10,,9176
,1,,5429
,1,,34433
,1,,2
,2,,33620
,2,,19627
,6,,3
,11,,21248
,8,,788
,1523,,15063
,1263,,158
,457,,33106
,12,,27389
,2,,454
,1235,,59734
,1,,24
,9,,422
,6,,6899
,9,,11142
,76,,181
,93798,,16290
,2,,25646
,17629,,41563
,2,,729
,64457,,63736
,1381,,25982
,73,,5984
,7,,1651
,3,,3730
,3007,,3692
,3,,22011
,1,,21248
,148,,13
,12,,21248
,259,,4159
,7770,,54349
,1,,30895
,64,,29193
,1991,,38481
,2,,921
,27,,30709
,407,,3726
,13,,30641
,822,,13611
,528,,30916
,14,,12545
,89606,,33506
,2,,1516
,67,,33101
,1,,302
,400422,,3
,91495,,5
,16,,20036
,2130,,23856
,3,,913
,12,,506
,1,,50959
,5,,103
,2,,53816
,1,,194
,623,,223
,1960,,16295
,518,,1027
,1,,28371
,4,,194
,5,,3433
,866,,21682
,7,,49760
,155,,5831
,146,,705
,660,,256
,3,,27195
,9,,8025
,2,,25635
,37,,34057
,6520,,194
,365,,155
,98172,,285
,1,,50681
,1,,1722
,1,,17289
,2,,14543
,1,,1
,5980,,3536
,4,,33117
,1,,2
,5,,4561
,67,,33506
,3406,,20779
,4,,33080
,304,,576
,229,,21929
,34728,,62312
,371951,,31073
,1,,46765
,3,,4496
,50,,37228
,69,,195
,280,,8
,1,,33424
,28,,49564
,13,,54092
,2,,22387
,57,,20405
,2409,,33852
,1,,63134
,,,35365
,,,21248
,,,568
,,,14939
,,,967
,,,322
,,,7237
,,,15296
,,,14163
,,,21248
,,,2075
,,,32568
,,,1871
,,,27994
,,,5010
,,,1517
,,,21586
,,,40474
,,,15944
,,,19627
,,,58846
,,,65066
,,,75376
,,,937
,,,8211
,,,19242
,,,6878
,,,1
,,,2
,,,41117
,,,194
,,,11508
,,,21793
,,,75125
,,,21248
,,,3632
,,,161052
,,,42761
,,,2280
,,,19637
,,,30703
,,,48
,,,7692
,,,10881
,,,19281
,,,53233
,,,3747
,,,32530
,,,1516
,,,1554
,,,2
,,,42871
,,,51
,,,191
,,,27941
,,,291
,,,5412
,,,24715
,,,322
,,,7847
,,,1
,,,20036
,,,8
,,,199
,,,2032
,,,83
,,,20900
,,,67264
,,,2186
,,,5677
,,,2689
,,,14192
,,,3300
,,,372
,,,49463
,,,27316
,,,51823
,,,2955
,,,29357
,,,9
,,,21938
,,,16985
,,,590
,,,27718
,,,6380
,,,53891
,,,21248
,,,3398
,,,5
,,,24402
,,,75623
,,,4495
,,,1036
,,,48
,,,5411
,,,534
,,,21391
,,,10116
,,,48
,,,5647
,,,3178
,,,114459
,,,3505
,,,5
,,,34200
,,,6586
,,,41989
,,,56968
,,,4903
,,,21
,,,7316
,,,70
,,,8851
,,,21248
,,,3742
,,,40
,,,34113
