fragment, used, inprojects, sloc, usedsloc, percent
12685139_0.java,12537,104,17,6,0.35294117647058826
13914445_0.java,116487,755,40,5,0.125
23638603_0.java,315441,1628,228,5,0.021929824561403508
13277748_1.java,315441,1628,15,5,0.3333333333333333
22539379_0.java,103950,717,29,4,0.13793103448275862
2291299_0.java,12537,104,14,6,0.42857142857142855
19512866_0.java,638820,1628,41,4,0.0975609756097561
22127736_0.java,103950,717,75,4,0.05333333333333334
24929103_0.java,103950,717,19,4,0.21052631578947367
24396808_1.java,12537,104,22,6,0.2727272727272727
3740013_0.java,103950,717,27,5,0.18518518518518517
17398548_0.java,103950,717,27,6,0.2222222222222222
931410_1.java,627291,1889,100,6,0.06
20437928_0.java,103950,717,50,4,0.08
20489238_0.java,315441,1628,72,4,0.05555555555555555
3742924_0.java,189,1,79,4,0.05063291139240506
23628801_2.java,315441,1628,40,4,0.1
25281518_1.java,103950,717,18,8,0.4444444444444444
12272813_0.java,103950,717,43,4,0.09302325581395349
11550162_0.java,315441,1628,21,4,0.19047619047619047
15097795_3.java,103950,717,28,4,0.14285714285714285
3385424_0.java,103950,717,51,4,0.0784313725490196
23163365_0.java,103950,717,52,4,0.07692307692307693
24641728_0.java,315441,1628,17,5,0.29411764705882354
19191187_0.java,315441,1628,48,5,0.10416666666666667
21754220_0.java,415800,717,86,4,0.046511627906976744
25704432_1.java,315441,1628,9,5,0.5555555555555556
23126410_0.java,12537,104,18,5,0.2777777777777778
20538331_0.java,103950,717,19,4,0.21052631578947367
11067802_0.java,103950,717,71,4,0.056338028169014086
19922464_0.java,315441,1628,66,4,0.06060606060606061
16894040_0.java,315441,1628,109,5,0.045871559633027525
25613039_0.java,103950,717,21,4,0.19047619047619047
24339574_0.java,207900,717,90,5,0.05555555555555555
11845766_0.java,315441,1628,92,5,0.05434782608695652
17819106_0.java,103950,717,13,4,0.3076923076923077
3752398_0.java,116487,755,23,4,0.17391304347826086
12219623_0.java,207900,717,194,4,0.020618556701030927
12590274_0.java,126,2,50,4,0.08
11545522_0.java,63,1,15,6,0.4
23036151_0.java,103950,717,55,4,0.07272727272727272
5246791_0.java,103950,717,55,5,0.09090909090909091
21929680_0.java,103950,717,10,6,0.6
1500838_0.java,103950,717,73,5,0.0684931506849315
10047399_0.java,1261764,1628,51,4,0.0784313725490196
8728299_1.java,103950,717,40,4,0.1
25746768_0.java,311850,717,61,4,0.06557377049180328
22403881_0.java,315441,1628,31,4,0.12903225806451613
9404727_0.java,103950,717,14,4,0.2857142857142857
18424471_1.java,103950,717,90,4,0.044444444444444446
2769554_0.java,12537,104,13,6,0.46153846153846156
15185345_0.java,63,1,250,12,0.048
24351588_3.java,103950,717,22,5,0.22727272727272727
16544225_0.java,315441,1628,7,4,0.5714285714285714
21581988_0.java,419391,1889,421,5,0.011876484560570071
2114430_0.java,103950,717,12,4,0.3333333333333333
1999800_0.java,103950,717,26,4,0.15384615384615385
1241683_0.java,315441,1628,21,5,0.23809523809523808
12403875_1.java,6363,59,93,9,0.0967741935483871
8524302_1.java,315441,1628,89,5,0.056179775280898875
712265_0.java,315441,1628,9,4,0.4444444444444444
10734257_0.java,315441,1628,34,4,0.11764705882352941
