SD,SE,ND,NE
35.7142857,30.76923077,53.33333333,50
7.6923077,44.44444444,4.651162791,36.36363636
18.8679245,26.31578947,47.36842105,13.79310345
15.1515152,60,34.375,5.882352941
62.5,13.79310345,22.85714286,6.666666667
9.375,10,29.03225806,8.064516129
3.6842105,60,9.523809524,10.25641026
8.8235294,23.07692308,10.22727273,11.42857143
90,26.66666667,38.46153846,6.18556701
47.6190476,45.45454545,9.302325581,15.2173913
11.3636364,27.27272727,39.13043478,14.70588235
4.3478261,8.771929825,27.27272727,47.05882353
40,37.5,9.009009009,31.25
6.7567568,8.955223881,15.38461538,12
13.5135135,80,6.201550388,5.555555556
20.8333333,36.36363636,14.81481481,16.12903226
19.3548387,19.04761905,66.66666667,9.230769231
91.6666667,36.36363636,5.389221557,7.01754386
2.4590164,40,13.43283582,8.737864078
11.3207547,23.52941176,5.23255814,42.85714286
83.3333333,12.82051282,18.51851852,50
20.8333333,11.11111111,34.7826087,26.31578947
38.8888889,37.5,32,23.52941176
8.6206897,31.25,47.36842105,26.92307692
6.7961165,14.28571429,11.30434783,13.15789474
70,26.66666667,16,36.36363636
81.8181818,26.31578947,7.207207207,3.333333333
26.3157895,26.66666667,25.71428571,3.738317757
3.6363636,50,20.45454545,26.31578947
13.8461538,26.66666667,33.33333333,12.12121212
25,50,4.639175258,5.128205128
5,44.44444444,14.28571429,24
12.6582278,30.76923077,71.42857143,55.55555556
18.6046512,14.28571429,12.30769231,9.756097561
10.9375,25,13.1147541,54.54545455
86.6666667,27.77777778,15.78947368,9.756097561
60,16.66666667,27.5862069,7.01754386
30,50,26.47058824,36.36363636
8.3333333,14.81481481,10.11235955,23.80952381
1.6627078,23.52941176,29.62962963,23.52941176
82.3529412,19.35483871,47.05882353,13.33333333
62.5,66.66666667,22.4137931,9.090909091
19.3548387,10.63829787,50,14.81481481
26.9230769,23.07692308,9.89010989,1.126760563
85.7142857,28.57142857,48,13.33333333
8.9285714,5.063291139,9.090909091,22.72727273
2.016129,5.319148936,72.30769231,16.12903226
23.8095238,6.666666667,66.66666667,10.14492754
70,80,37.20930233,10.25641026
15.9090909,22.22222222,14.11764706,15.55555556
11.4285714,66.66666667,76.92307692,26.66666667
3.3018868,2.906976744,14.03508772,22.22222222
19.1489362,6.493506494,4.8,5.376344086
83.3333333,25,14.81481481,15.625
15,33.33333333,5.925925926,62.5
55.8139535,20.83333333,10.25641026,13.79310345
11.1111111,33.33333333,61.9047619,66.66666667
29.4117647,23.80952381,19.04761905,45
26.0869565,12.90322581,30.95238095,26.66666667
75,11.42857143,3.562945368,4.098360656
91.6666667,20,26.2295082,21.73913043
15.1515152,30.76923077,11.26760563,7.462686567
36.8421053,2.049180328,32.14285714,6.944444444
34.6153846,14.81481481,21.62162162,28.125
80,21.73913043,20,11.76470588
37.5,26.31578947,8.888888889,5.479452055
13.4615385,41.66666667,12.90322581,50
27.7777778,45.45454545,10.11235955,1.904761905
11.3207547,26.66666667,26.66666667,5.154639175
13.1578947,55.55555556,7.142857143,19.35483871
22.7272727,16.66666667,14.28571429,24
12.7272727,12.5,13.23529412,13.46153846
19.047619,55.55555556,3.225806452,26.66666667
2.4561404,28.57142857,10.58823529,14.28571429
