fragment, used, inprojects, sloc, usedsloc, percent,
25198825_0.java,231801,4943,30,6,0.2,
16479988_0.java,231801,4943,30,6,0.2,
14796607_0.java,231020,5955,113,4,0.03539823,
22261392_0.java,230746,3791,119,6,0.050420168,
20791703_0.java,230325,3983,41,6,0.146341463,
15099090_1.java,230008,5010,146,4,0.02739726,
19784939_0.java,228838,3861,72,6,0.083333333,
13503796_0.java,227749,1504,105,4,0.038095238,
19786438_1.java,227246,3847,194,6,0.030927835,
14740385_2.java,224482,4986,31,6,0.193548387,
19195483_1.java,224482,4986,33,6,0.181818182,
21173768_0.java,224295,3554,84,6,0.071428571,
19700347_2.java,224175,3553,35,6,0.171428571,
11239674_1.java,223795,4721,93,6,0.064516129,
19624981_0.java,223680,3819,140,6,0.042857143,
22487463_0.java,223396,4975,36,6,0.166666667,
21768489_1.java,223331,3669,57,6,0.105263158,
5668510_0.java,222933,5925,516,6,0.011627907,
10592794_2.java,222918,4508,36,4,0.111111111,
9559088_1.java,221803,3771,55,6,0.109090909,
24789579_0.java,221322,4361,36,6,0.166666667,
11411392_0.java,218258,5243,28,4,0.142857143,
9860374_0.java,217921,5378,404,4,0.00990099,
16965298_4.java,216511,3929,83,6,0.072289157,
10965056_0.java,215595,5872,146,4,0.02739726,
12176837_0.java,213917,1357,60,4,0.066666667,
23232618_0.java,213307,5335,218,4,0.018348624,
15097795_2.java,213292,5218,39,6,0.153846154,
21734600_0.java,213109,5418,72,4,0.055555556,
23388025_3.java,212928,9522,342,6,0.01754386,
13788646_0.java,212875,5318,133,4,0.030075188,
9697361_1.java,212752,5309,39,4,0.102564103,
5405449_1.java,212598,5302,12,4,0.333333333,
13556051_1.java,212594,5300,11,4,0.363636364,
18605731_1.java,212594,5300,11,4,0.363636364,
4982418_0.java,212594,5300,13,5,0.384615385,
2447970_0.java,212594,5300,12,4,0.333333333,
9897721_0.java,212594,5300,55,4,0.072727273,
4549501_0.java,212514,4600,92,6,0.065217391,
9426058_0.java,212339,4985,45,7,0.155555556,
14677516_0.java,212097,5323,110,4,0.036363636,
23816029_2.java,212075,5238,174,4,0.022988506,
24105383_0.java,211745,5207,11,4,0.363636364,
19190610_1.java,210803,4888,37,4,0.108108108,
16573538_0.java,210633,4987,79,4,0.050632911,
18865015_1.java,210523,4289,69,6,0.086956522,
15099090_0.java,209839,4918,74,4,0.054054054,
8462309_0.java,209833,4909,10,4,0.4,
22286450_0.java,209833,4909,14,4,0.285714286,
3442100_0.java,209833,4909,10,4,0.4,
8066268_0.java,209833,4909,13,4,0.307692308,
6867170_0.java,209833,4909,10,4,0.4,
19098229_0.java,209833,4909,10,4,0.4,
24565618_0.java,209786,4945,148,4,0.027027027,
18026106_0.java,209509,4920,143,4,0.027972028,
1440241_0.java,209433,4853,34,4,0.117647059,
