fragment, used, inprojects, sloc, usedsloc, percent
24700955_0.java,1,1,15,5,0.3333333333333333
24194376_0.java,33021,4598,19,4,0.21052631578947367
13978678_0.java,63,51,24,5,0.20833333333333334
18928089_1.java,7,7,11,5,0.45454545454545453
15162756_0.java,7,7,20,6,0.3
19761770_1.java,1,1,26,4,0.15384615384615385
8560823_2.java,983,560,14,4,0.2857142857142857
23017200_2.java,168,168,8,5,0.625
19351826_0.java,44,44,46,5,0.10869565217391304
9060013_0.java,2,1,15,5,0.3333333333333333
20098305_0.java,4,4,21,5,0.23809523809523808
6367754_0.java,14,9,17,4,0.23529411764705882
13621017_0.java,222,53,16,5,0.3125
1735548_0.java,3,3,30,6,0.2
14645029_0.java,1,1,16,4,0.25
24857806_0.java,43,14,38,4,0.10526315789473684
18997114_0.java,4,4,15,4,0.26666666666666666
3806154_0.java,309,157,22,5,0.22727272727272727
2357167_0.java,7,7,6,4,0.6666666666666666
10018310_0.java,41,40,12,4,0.3333333333333333
19646088_0.java,3,2,90,4,0.044444444444444446
13334002_0.java,2411,547,12,5,0.4166666666666667
13706475_0.java,12,9,8,4,0.5
18075573_0.java,257,161,41,4,0.0975609756097561
10765915_1.java,19,19,157,5,0.03184713375796178
667212_0.java,85,53,56,6,0.10714285714285714
20884108_0.java,12,10,30,4,0.13333333333333333
8492685_0.java,3,3,24,4,0.16666666666666666
15025085_1.java,5811,1705,237,4,0.016877637130801686
20313699_0.java,5887,641,41,5,0.12195121951219512
19493593_0.java,2,2,7,4,0.5714285714285714
18429953_0.java,450,413,22,5,0.22727272727272727
20346361_0.java,339,149,33,5,0.15151515151515152
10462197_0.java,3,3,13,5,0.38461538461538464
8107018_1.java,2,2,17,6,0.35294117647058826
12306696_1.java,1700,741,13,6,0.46153846153846156
15535895_0.java,2518,712,54,5,0.09259259259259259
21553538_1.java,423,418,30,4,0.13333333333333333
10389736_0.java,87,48,121,4,0.03305785123966942
3867571_1.java,150,145,15,5,0.3333333333333333
8955040_1.java,21,19,27,6,0.2222222222222222
21188693_0.java,130,70,10,4,0.4
13708266_1.java,5,5,45,5,0.1111111111111111
1368041_0.java,24,23,42,8,0.19047619047619047
21291729_0.java,1,1,18,4,0.2222222222222222
22128350_0.java,23,18,51,4,0.0784313725490196
10858864_0.java,252,117,25,5,0.2
12348821_0.java,27,14,14,4,0.2857142857142857
20149794_0.java,40,31,9,5,0.5555555555555556
15092629_0.java,312,292,10,5,0.5
21190872_1.java,2434,124,57,4,0.07017543859649122
24264472_4.java,65523,5144,153,4,0.026143790849673203
13352783_0.java,1,1,79,4,0.05063291139240506
4400981_0.java,2417,547,22,5,0.22727272727272727
4436467_0.java,1,1,14,4,0.2857142857142857
11623065_1.java,14,10,24,6,0.25
23473650_1.java,3164,700,24,5,0.20833333333333334
13456372_0.java,133,129,8,4,0.5
6753113_1.java,346122,5363,34,4,0.11764705882352941
6089206_0.java,2030,925,29,5,0.1724137931034483
19959419_0.java,1,1,9,6,0.6666666666666666
23999341_0.java,2239,1134,18,4,0.2222222222222222
21649275_0.java,9,8,21,5,0.23809523809523808
3649392_3.java,10,10,19,5,0.2631578947368421
24148215_0.java,42,32,14,4,0.2857142857142857
4035772_0.java,14660,662,55,4,0.07272727272727272
4987633_0.java,168,110,34,6,0.17647058823529413
9579919_1.java,2,2,7,4,0.5714285714285714
22964288_0.java,1,1,47,4,0.0851063829787234
22683989_0.java,21452,5319,98,4,0.04081632653061224
9446682_0.java,344,333,27,4,0.14814814814814814
11537280_0.java,2,2,16,5,0.3125
20545347_0.java,86,56,10,5,0.5
7116639_1.java,136347,3524,28,6,0.21428571428571427
15787780_2.java,153403,3624,32,6,0.1875
10703312_0.java,90,89,10,5,0.5
12390765_1.java,1,1,8,5,0.625
17803491_0.java,3,3,12,4,0.3333333333333333
5595261_0.java,4,4,42,6,0.14285714285714285
20021825_0.java,72,63,33,5,0.15151515151515152
18776702_0.java,6,6,73,5,0.0684931506849315
9754113_0.java,1,1,6,4,0.6666666666666666
6980912_0.java,4,3,22,4,0.18181818181818182
4553318_0.java,23212,5317,62,4,0.06451612903225806
8511560_0.java,1,1,20,4,0.2
13582811_0.java,26,12,30,5,0.16666666666666666
13523790_0.java,8250,3566,15,4,0.26666666666666666
8108409_1.java,3084,672,17,4,0.23529411764705882
8802150_0.java,13,12,72,6,0.08333333333333333
2243850_0.java,11,7,71,7,0.09859154929577464
5663786_0.java,25913,3811,25,6,0.24
6105437_0.java,274,138,119,5,0.04201680672268908
23591869_0.java,4,4,35,8,0.22857142857142856
17083245_0.java,1,1,12,6,0.5
15137708_0.java,138,112,128,5,0.0390625
3636789_0.java,2,2,53,5,0.09433962264150944
9349581_0.java,11,4,22,4,0.18181818181818182
12978270_0.java,40,40,11,5,0.45454545454545453
17133017_0.java,3,3,17,5,0.29411764705882354
9783306_1.java,1,1,10,4,0.4
12111975_0.java,19997,4941,59,4,0.06779661016949153
16797289_2.java,35,31,17,4,0.23529411764705882
13809709_0.java,1,1,14,8,0.5714285714285714
3181966_0.java,4,4,14,5,0.35714285714285715
20599573_0.java,283,98,26,4,0.15384615384615385
22596649_0.java,4,1,10,4,0.4
4454997_0.java,4,4,7,4,0.5714285714285714
14427280_0.java,32,13,46,5,0.10869565217391304
23815738_0.java,31962,4886,43,6,0.13953488372093023
13099629_0.java,210,138,10,5,0.5
19161139_1.java,2,2,14,7,0.5
15748575_0.java,15,15,20,6,0.3
20653405_0.java,20,18,18,4,0.2222222222222222
1716129_0.java,3,1,13,5,0.38461538461538464
22441023_0.java,3,3,47,4,0.0851063829787234
12234476_0.java,423,221,52,5,0.09615384615384616
858443_0.java,5,5,60,4,0.06666666666666667
23495355_0.java,8,6,25,4,0.16
740333_0.java,2,1,17,5,0.29411764705882354
