fragment, used, inprojects, sloc, usedsloc, percent
11845766_0.java,5736,3227,92,6,0.06521739130434782
22863041_0.java,82,62,75,6,0.08
3752398_0.java,1161,634,23,8,0.34782608695652173
19739656_1.java,1,1,70,7,0.1
13262929_0.java,7015,3597,24,6,0.25
12219623_0.java,1,1,194,9,0.04639175257731959
12590274_0.java,1,1,50,7,0.14
11545522_0.java,1857,966,15,6,0.4
19927428_0.java,831,413,41,12,0.2926829268292683
23036151_0.java,5940,3340,55,4,0.07272727272727272
22594469_0.java,8,3,66,9,0.13636363636363635
1500838_0.java,5276,2887,73,5,0.0684931506849315
10047399_0.java,18367,2868,51,4,0.0784313725490196
25071662_0.java,5742,3193,79,7,0.08860759493670886
25746768_0.java,7224,2791,61,5,0.08196721311475409
2769554_0.java,2285,1197,13,6,0.46153846153846156
18424471_1.java,86,66,90,6,0.06666666666666667
24351588_3.java,5742,3193,22,5,0.22727272727272727
16017118_0.java,1,1,52,7,0.1346153846153846
16544225_0.java,4713,2302,7,4,0.5714285714285714
21581988_0.java,17926,4947,421,6,0.014251781472684086
2114430_0.java,5959,3376,12,4,0.3333333333333333
1062057_0.java,1,1,19,13,0.6842105263157895
1241683_0.java,612,203,21,5,0.23809523809523808
9702143_0.java,76,57,90,7,0.07777777777777778
8524302_1.java,1646,864,89,6,0.06741573033707865
712265_0.java,4752,2312,9,4,0.4444444444444444
23016215_1.java,4,4,31,5,0.16129032258064516
10734257_0.java,6040,2868,34,4,0.11764705882352941
13062651_0.java,5290,2460,49,4,0.08163265306122448
16567952_0.java,5431,2576,10,6,0.6
12692751_0.java,3676,1651,36,4,0.1111111111111111
18921058_0.java,713,321,14,5,0.35714285714285715
20960798_0.java,14,8,85,7,0.08235294117647059
24573174_0.java,5,5,11,5,0.45454545454545453
22860413_2.java,5991,2810,20,4,0.2
22170446_1.java,57,40,37,7,0.1891891891891892
18039450_0.java,5124,1329,82,5,0.06097560975609756
17771772_0.java,86,66,82,6,0.07317073170731707
2457035_0.java,2,2,143,9,0.06293706293706294
10414747_2.java,6000,2810,29,4,0.13793103448275862
8540254_0.java,5981,2808,11,4,0.36363636363636365
3095214_0.java,11848,5115,37,4,0.10810810810810811
18049535_0.java,15135,2667,121,4,0.03305785123966942
24824472_0.java,1,1,19,5,0.2631578947368421
13918675_0.java,5868,3320,68,4,0.058823529411764705
782309_0.java,1985,1058,13,6,0.46153846153846156
25638286_0.java,2373,1283,75,5,0.06666666666666667
20830952_0.java,2600,1484,62,5,0.08064516129032258
15193299_0.java,5867,3319,13,8,0.6153846153846154
8697827_1.java,5959,3376,39,4,0.10256410256410256
11133538_0.java,6,6,51,8,0.1568627450980392
18721882_1.java,86,66,97,6,0.061855670103092786
21302970_0.java,1,1,46,7,0.15217391304347827
9891750_0.java,82,62,19,6,0.3157894736842105
17838981_0.java,1,1,32,10,0.3125
25560938_0.java,2086,1090,50,10,0.2
13504545_0.java,1,1,72,4,0.05555555555555555
13107591_1.java,5959,3376,31,5,0.16129032258064516
14037419_1.java,1403,747,65,6,0.09230769230769231
247495_0.java,7678,3377,57,4,0.07017543859649122
25155407_2.java,33,24,19,5,0.2631578947368421
23435001_0.java,57,40,26,7,0.2692307692307692
22700053_0.java,86,66,60,6,0.1
14405448_0.java,5867,3284,8,4,0.5
12478946_0.java,1734,632,38,5,0.13157894736842105
8273148_1.java,11412,2906,120,4,0.03333333333333333
20172972_0.java,2,1,14,6,0.42857142857142855
2919693_0.java,11720,3378,21,5,0.23809523809523808
10592794_2.java,4531,2463,36,5,0.1388888888888889
19026912_0.java,5867,3319,107,4,0.037383177570093455
15128039_1.java,1099,553,40,7,0.175
20183671_0.java,6040,2868,38,4,0.10526315789473684
19687214_0.java,3470,1671,19,5,0.2631578947368421
9287482_1.java,5981,2808,37,4,0.10810810810810811
4404115_1.java,5513,2620,33,4,0.12121212121212122
7782749_1.java,14133,3564,289,4,0.01384083044982699
15682273_1.java,5625,3102,78,4,0.05128205128205128
19544725_1.java,10164,3649,41,4,0.0975609756097561
23587413_0.java,86,66,63,6,0.09523809523809523
22282414_0.java,372,165,15,4,0.26666666666666666
