SD,SE,ND,NE
5,4,12,4
5,5,9,4
10,4,8,5
10,6,10,8
9,7,8,4
6,4,9,4
5,5,11,4
6,4,11,4
8,4,8,5
5,4,9,6
6,4,8,4
10,4,13,7
11,5,8,5
7,4,8,6
6,4,8,5
10,7,10,6
7,5,8,7
5,4,8,4
7,4,8,10
16,5,16,6
9,4,15,5
7,4,10,5
10,5,8,7
7,5,8,6
10,4,11,4
10,5,10,4
5,4,10,5
7,4,8,4
11,4,8,5
5,5,9,6
8,4,11,5
7,5,9,4
13,4,13,5
6,4,8,4
7,5,8,4
10,5,8,4
5,4,8,7
10,4,8,4
6,6,8,11
6,5,8,6
12,4,15,4
10,5,8,5
7,4,8,5
5,4,8,8
5,5,9,5
7,4,8,7
10,6,8,5
5,4,8,4
11,4,11,4
10,4,8,9
5,5,11,7
7,6,8,6
5,4,8,3
10,4,11,6
5,5,15,4
5,17,12,4
5,5,8,4
7,4,8,4
5,4,8,5
5,4,8,5
10,4,8,4
7,5,8,6
7,4,8,4
5,6,8,7
5,5,8,4
9,6,8,6
6,4,8,5
8,4,7,5
7,4,9,5
5,4,8,4
6,4,16,6
5,6,11,4
10,4,8,4
5,5,8,4
6,7,8,4
5,5,26,4
7,4,8,4
5,4,9,4
11,4,9,5
7,9,8,6
8,5,8,5
6,4,9,7
7,7,8,5
5,4,9,4
6,5,8,8
7,4,9,4
5,6,8,7
7,4,11,4
5,6,8,5
6,4,18,4
7,4,8,4
5,4,7,5
5,4,8,7
8,4,8,4
6,5,8,4
18,4,9,4
7,5,11,4
5,5,8,5
6,5,9,6
10,5,8,5
15,4,11,8
272,4,8,4
7,5,8,4
5,5,14,5
6,7,8,5
5,4,14,6
10,4,14,7
5,4,11,6
6,6,8,4
7,5,13,4
10,7,8,6
10,4,8,4
11,6,9,4
7,7,8,4
6,5,12,6
8,4,11,4
7,7,19,7
10,4,12,7
7,5,11,5
5,6,11,4
9,5,8,9
7,4,8,4
10,6,8,5
7,5,8,4
5,5,9,4
6,5,8,5
6,5,8,4
5,8,8,4
10,5,9,6
7,4,8,6
9,4,8,4
7,6,9,4
6,6,7,5
7,4,9,4
5,4,17,5
5,4,8,4
6,4,8,7
5,5,8,8
5,4,9,6
5,5,8,4
6,5,13,7
6,5,8,9
5,4,9,6
5,4,8,4
8,4,9,5
7,4,13,4
5,6,8,4
10,6,11,4
7,4,10,4
7,4,8,6
7,4,8,7
10,8,8,7
7,5,8,4
6,4,8,6
8,4,11,4
11,5,26,4
6,4,10,7
7,4,8,5
6,5,11,4
6,4,9,7
6,4,8,6
6,5,8,4
5,5,8,14
5,4,8,4
7,4,10,11
6,6,9,4
7,5,9,6
5,4,8,21
5,4,7,4
5,4,7,4
7,4,8,4
13,5,8,8
6,5,8,7
7,4,12,4
5,4,10,4
6,5,9,7
10,5,8,7
6,4,8,4
7,5,8,4
7,4,12,4
7,4,8,8
5,4,8,4
6,6,12,4
7,4,9,4
10,4,9,5
6,5,8,6
6,5,8,10
6,5,8,6
7,4,11,6
7,9,8,6
5,4,30,4
7,4,9,5
5,4,10,4
5,5,8,6
7,4,9,4
7,5,8,4
6,4,11,8
7,5,18,4
5,5,12,4
11,5,16,6
6,5,11,4
10,4,13,5
6,6,9,4
5,4,8,6
7,5,20,4
5,4,8,7
7,6,8,5
7,6,10,4
10,4,8,7
10,7,10,4
11,4,8,7
5,6,8,4
7,6,7,6
7,4,9,4
11,5,8,4
5,5,8,6
5,4,8,4
16,5,8,5
5,8,9,4
7,5,8,5
10,5,8,6
15,4,14,6
6,5,8,5
10,5,8,6
10,4,8,4
6,4,8,7
7,5,8,5
7,6,10,5
10,5,8,12
5,5,8,4
6,4,27,4
6,4,11,5
8,5,8,4
15,7,8,7
15,4,26,4
7,8,8,4
5,5,10,5
5,4,8,4
8,6,9,12
6,7,8,4
6,5,8,4
17,4,8,6
5,5,8,4
7,5,8,9
7,4,7,4
7,4,10,7
7,4,9,4
5,4,9,8
5,4,18,6
10,6,20,7
6,5,12,5
5,5,10,4
7,4,26,10
5,4,7,6
5,5,9,7
6,5,13,4
5,5,8,7
6,6,8,5
7,4,9,6
7,5,11,5
13,5,8,4
7,6,11,4
8,6,11,4
5,5,10,7
7,4,8,5
7,5,8,4
7,4,15,7
5,6,8,4
7,4,8,4
12,4,9,6
7,5,9,7
7,4,8,6
5,6,8,4
8,4,8,4
7,4,12,4
10,6,9,6
7,5,8,4
5,6,8,4
7,4,8,4
5,4,8,8
7,5,14,6
7,4,11,4
7,4,8,5
5,6,11,5
15,5,9,5
5,5,8,4
5,5,12,6
5,5,8,6
6,5,8,5
7,4,11,4
6,5,8,4
6,6,8,6
5,4,10,4
8,6,7,5
7,4,8,7
7,5,9,5
5,5,8,7
7,4,11,5
10,4,11,12
13,5,8,6
10,4,12,4
6,5,18,5
6,4,8,4
10,4,11,9
8,5,11,5
6,5,8,4
7,4,8,4
10,4,9,5
5,4,9,4
6,4,12,4
10,4,9,7
6,5,7,5
5,4,9,4
10,6,12,7
9,5,8,4
6,6,8,4
5,5,8,4
6,6,9,5
6,5,11,10
7,4,15,11
5,5,8,4
8,6,8,7
6,4,8,9
5,4,8,7
